label,label_2,cnt
0,a,15920405
1,b,12033592
2,c,853068
2,d,608603
2,e,940785
2,f,775549
2,g,346132
2,h,303931
2,i,279181
2,j,608532
2,k,544022
2,l,293832
2,m,693865
2,n,856870
2,a,539109
2,b,313270
2,c,479975
2,d,417146
2,e,329753
2,f,194004
2,g,508099
2,h,605084
2,i,608968
2,j,372335
2,k,561479
1,l,3798280
2,m,576240
2,n,201294
2,a,157319
2,b,165721
2,c,124145
2,d,245693
2,e,101452
2,f,197864
2,g,396333
2,h,104257
2,i,166779
2,j,163592
2,k,119897
2,l,104735
2,m,72066
2,n,52564
2,a,59204
2,b,68474
2,c,64456
2,d,92727
2,e,67614
2,f,148156
2,g,68782
2,h,51875
2,i,69906
2,j,157135
1,k,61274
2,l,36767
2,m,17205
2,n,2089
2,a,5213
1,b,27259
2,c,7998
2,d,416
2,e,2805
2,f,1938
2,g,2574
2,h,431
2,i,7731
2,j,225
2,k,3141